@relation DATA_SET_2012

@attribute #FIGURE_ON_P_1 numeric
@attribute #FIGURE_ON_P_2 numeric
@attribute #FIGURE_ON_P_3 numeric
@attribute #FIGURE_ON_P_4 numeric
@attribute #FIGURE_ON_P_5 numeric
@attribute #FIGURE_ON_P_6 numeric
@attribute #FIGURE_ON_P_7 numeric
@attribute #FIGURE_ON_P_8 numeric
@attribute #FIGURE_ON_P_9 numeric
@attribute #FIGURE_ON_P_10 numeric
@attribute #FORMULA_ON_P_1 numeric
@attribute #FORMULA_ON_P_2 numeric
@attribute #FORMULA_ON_P_3 numeric
@attribute #FORMULA_ON_P_4 numeric
@attribute #FORMULA_ON_P_5 numeric
@attribute #FORMULA_ON_P_6 numeric
@attribute #FORMULA_ON_P_7 numeric
@attribute #FORMULA_ON_P_8 numeric
@attribute #FORMULA_ON_P_9 numeric
@attribute #FORMULA_ON_P_10 numeric
@attribute #TABLE_ON_P_1 numeric
@attribute #TABLE_ON_P_2 numeric
@attribute #TABLE_ON_P_3 numeric
@attribute #TABLE_ON_P_4 numeric
@attribute #TABLE_ON_P_5 numeric
@attribute #TABLE_ON_P_6 numeric
@attribute #TABLE_ON_P_7 numeric
@attribute #TABLE_ON_P_8 numeric
@attribute #TABLE_ON_P_9 numeric
@attribute #TABLE_ON_P_10 numeric
@attribute TITLE_TFIDF numeric
@attribute ABSTR_TFIDF numeric
@attribute LDA_TOPIC_0 numeric
@attribute LDA_TOPIC_1 numeric
@attribute LDA_TOPIC_2 numeric
@attribute LDA_TOPIC_3 numeric
@attribute LDA_TOPIC_4 numeric
@attribute LDA_TOPIC_5 numeric
@attribute LDA_TOPIC_6 numeric
@attribute LDA_TOPIC_7 numeric
@attribute LDA_TOPIC_8 numeric
@attribute LDA_TOPIC_9 numeric
@attribute LDA_TOPIC_10 numeric
@attribute LDA_TOPIC_11 numeric
@attribute LDA_TOPIC_12 numeric
@attribute LDA_TOPIC_13 numeric
@attribute LDA_TOPIC_14 numeric
@attribute LDA_TOPIC_15 numeric
@attribute LDA_TOPIC_16 numeric
@attribute LDA_TOPIC_17 numeric
@attribute LDA_TOPIC_18 numeric
@attribute LDA_TOPIC_19 numeric
@attribute TECH_TERM_BLEU numeric
@attribute TECH_TERM_Bayes numeric
@attribute TECH_TERM_CCG numeric
@attribute TECH_TERM_CFG numeric
@attribute TECH_TERM_CRF numeric
@attribute TECH_TERM_DAG numeric
@attribute TECH_TERM_DIRT numeric
@attribute TECH_TERM_ED numeric
@attribute TECH_TERM_EM numeric
@attribute TECH_TERM_HMM numeric
@attribute TECH_TERM_HPSG numeric
@attribute TECH_TERM_IAA numeric
@attribute TECH_TERM_Kappa numeric
@attribute TECH_TERM_LBFGS numeric
@attribute TECH_TERM_LCS numeric
@attribute TECH_TERM_LDA numeric
@attribute TECH_TERM_LFG numeric
@attribute TECH_TERM_LM numeric
@attribute TECH_TERM_LP numeric
@attribute TECH_TERM_LSI numeric
@attribute TECH_TERM_LinReg numeric
@attribute TECH_TERM_LogReg numeric
@attribute TECH_TERM_MAP numeric
@attribute TECH_TERM_MERT numeric
@attribute TECH_TERM_METEOR numeric
@attribute TECH_TERM_MI numeric
@attribute TECH_TERM_MIRA numeric
@attribute TECH_TERM_MLE numeric
@attribute TECH_TERM_MRR numeric
@attribute TECH_TERM_MST numeric
@attribute TECH_TERM_MaxEnt numeric
@attribute TECH_TERM_ROUGE numeric
@attribute TECH_TERM_SD numeric
@attribute TECH_TERM_SVM numeric
@attribute TECH_TERM_TAG numeric
@attribute TECH_TERM_TER numeric
@attribute TECH_TERM_TFIDF numeric
@attribute TECH_TERM_WER numeric
@attribute TECH_TERM_XAS numeric
@attribute MAX_RANK numeric
@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,1,0,0,0,2,3,0,0,0,0,1,3,2,2,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,5.597496,6.853173,0.08638,0.429491,0.000033,0.000042,0.000183,0.000026,0.000029,0.000054,0.000033,0.000044,0.228123,0.000093,0.000036,0.255034,0.000033,0.000032,0.000076,0.000042,0.000023,0.000191,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,6,0,1,0,?,0,0,0,0.081218,0.177665,0.06599,0.050761,0.06599,0.068528,0.088832,0.096447,0.068528,0.058376,0.050761,0.035533,0.030457,0.017766,0.020305,0.010152,0.002538,0.005076,0.005076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,0,0,2,1,0,0,0,0,0,0,6,7,1,4,1,1,0,0,0,0,0,0,0,1,1,1,0,0,6.290643,10.643842,0.226603,0.306475,0.000031,0.000049,0.000051,0.000017,0.000027,0.000049,0.000033,0.000023,0.147647,0.000095,0.000045,0.305599,0.00003,0.000066,0.000065,0.000063,0.012765,0.000266,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,?,0,0,0,0.034375,0.075,0.1125,0.115625,0.078125,0.1125,0.0875,0.071875,0.065625,0.0875,0.025,0.034375,0.028125,0.01875,0.01875,0.009375,0.009375,0.003125,0,0.003125,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,0,1,1,2,0,0,0,0,10,2,4,6,6,0,0,0,0,0,2,1,0,1,3,0,0,0,6.290643,6.981935,0.134908,0.314768,0.000027,0.000049,0.000025,0.000029,0.000026,0.000097,0.000039,0.000018,0.202841,0.000051,0.000042,0.346516,0.00003,0.000038,0.000063,0.000051,0.000033,0.000351,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0.118971,0.090032,0.041801,0.090032,0.067524,0.064309,0.07717,0.080386,0.086817,0.054662,0.032154,0.038585,0.048232,0.025723,0.025723,0.016077,0.012862,0.003215,0.006431,0.006431,0.003215,0.003215,0.003215,0.003215,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,3,0,0,0,0,0,0,0,3,3,1,2,3,1,0,0,0,0,0,0,0,3,3,1,0,0,6.98379,27.927739,0.000185,0.036366,0.000026,0.00005,0.000027,0.000457,0.000028,0.53632,0.000061,0.000018,0.168882,0.000065,0.000055,0.249458,0.000021,0.000035,0.00004,0.007706,0.000065,0.000136,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,1961,0,0,0,0.028939,0.061093,0.061093,0.093248,0.154341,0.083601,0.11254,0.093248,0.061093,0.064309,0.045016,0.045016,0.03537,0.016077,0.022508,0.012862,0,0,0.006431,0.003215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,1,0,1,0,1,0,0,0,0,6,27,7,5,0,2,3,0,0,0,0,0,0,0,0,1,3,0,6.290643,18.717398,0.000091,0.000067,0.000035,0.000056,0.000024,0.000021,0.000029,0.000083,0.000078,0.000016,0.078664,0.000081,0.533352,0.352979,0.000019,0.000059,0.000032,0.034171,0.00003,0.000111,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,0,0,0.268482,0.068093,0.097276,0.064202,0.060311,0.05642,0.066148,0.068093,0.054475,0.040856,0.042802,0.035019,0.019455,0.021401,0.011673,0.003891,0.007782,0.005837,0.001946,0.001946,0,0.001946,0,0,0,0,0,0.001946,0,0,0,0,0,0,0,0,0,true
0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,3,2,3,1,0,0,0,2,1,0,0,1,2,1,0,6.98379,20.945804,0.000362,0.000048,0.000038,0.000067,0.000028,0.000017,0.000027,0.000077,0.000035,0.495175,0.28466,0.000093,0.000064,0.216464,0.000024,0.000029,0.000085,0.002511,0.000058,0.000137,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,?,0,0,0,0.047337,0.06213,0.050296,0.118343,0.127219,0.112426,0.127219,0.088757,0.076923,0.06213,0.035503,0.023669,0.029586,0.017751,0.002959,0,0.008876,0.005917,0,0.002959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,1,0,0,0,0,0,0,0,0,4,3,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,5.03788,17.132933,0.000085,0.000036,0.000055,0.39718,0.000031,0.000022,0.00004,0.000041,0.00002,0.000068,0.330181,0.000292,0.000045,0.177202,0.000042,0.000141,0.000256,0.000031,0.00005,0.09418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0.072519,0.099237,0.053435,0.030534,0.072519,0.068702,0.118321,0.09542,0.064885,0.076336,0.061069,0.053435,0.026718,0.019084,0.019084,0.026718,0.007634,0.01145,0.003817,0,0.007634,0,0,0.003817,0.003817,0,0,0,0.003817,0,0,0,0,0,0,0,0,true
0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,6.98379,12.360458,0.000164,0.000038,0.000033,0.647641,0.000024,0.000058,0.000037,0.000044,0.000057,0.000046,0.329314,0.012988,0.000063,0.003904,0.000028,0.005354,0.000057,0.000027,0.000039,0.000082,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0.14881,0.151786,0.053571,0.041667,0.053571,0.071429,0.074405,0.056548,0.08631,0.071429,0.053571,0.032738,0.029762,0.014881,0.017857,0.005952,0.011905,0.002976,0.002976,0.008929,0.002976,0,0,0.002976,0.002976,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,0,0,0,0,0,0,0,1,6,5,3,0,5,1,0,0,0,0,0,0,1,0,2,2,0,0,6.98379,19.46559,0.000065,0.000035,0.031597,0.005708,0.000203,0.000146,0.000041,0.011997,0.000029,0.00002,0.194977,0.000069,0.63835,0.116488,0.000015,0.000047,0.000057,0.000031,0.000023,0.000103,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,81,0,0,0,0.119608,0.258824,0.070588,0.041176,0.058824,0.082353,0.062745,0.07451,0.045098,0.039216,0.035294,0.035294,0.023529,0.013725,0.017647,0.003922,0.007843,0.005882,0.001961,0,0,0,0,0.001961,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,1,0,1,0,0,2,0,0,0,0,1,3,1,5,3,0,0,0,0,0,0,1,0,1,2,0,0,0,6.290643,10.195247,0.000084,0.000039,0.000031,0.029455,0.000035,0.009792,0.000045,0.000043,0.000027,0.000031,0.162964,0.318907,0.000052,0.185537,0.000033,0.00004,0.000062,0.000041,0.000049,0.292734,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,18,0,0,0,1,0,0,0,0,14,?,0,0,0,0.065693,0.135036,0.058394,0.083942,0.032847,0.040146,0.105839,0.069343,0.09854,0.076642,0.058394,0.018248,0.043796,0.032847,0.025547,0.018248,0.007299,0.00365,0.010949,0.00365,0.00365,0,0,0,0.007299,0,0,0,0,0,0,0,0,0,0,0,0,true
