@relation DATA_SET_All

@attribute #FIGURE_ON_P_1 numeric
@attribute #FIGURE_ON_P_2 numeric
@attribute #FIGURE_ON_P_3 numeric
@attribute #FIGURE_ON_P_4 numeric
@attribute #FIGURE_ON_P_5 numeric
@attribute #FIGURE_ON_P_6 numeric
@attribute #FIGURE_ON_P_7 numeric
@attribute #FIGURE_ON_P_8 numeric
@attribute #FIGURE_ON_P_9 numeric
@attribute #FIGURE_ON_P_10 numeric
@attribute #FORMULA_ON_P_1 numeric
@attribute #FORMULA_ON_P_2 numeric
@attribute #FORMULA_ON_P_3 numeric
@attribute #FORMULA_ON_P_4 numeric
@attribute #FORMULA_ON_P_5 numeric
@attribute #FORMULA_ON_P_6 numeric
@attribute #FORMULA_ON_P_7 numeric
@attribute #FORMULA_ON_P_8 numeric
@attribute #FORMULA_ON_P_9 numeric
@attribute #FORMULA_ON_P_10 numeric
@attribute #TABLE_ON_P_1 numeric
@attribute #TABLE_ON_P_2 numeric
@attribute #TABLE_ON_P_3 numeric
@attribute #TABLE_ON_P_4 numeric
@attribute #TABLE_ON_P_5 numeric
@attribute #TABLE_ON_P_6 numeric
@attribute #TABLE_ON_P_7 numeric
@attribute #TABLE_ON_P_8 numeric
@attribute #TABLE_ON_P_9 numeric
@attribute #TABLE_ON_P_10 numeric
@attribute TITLE_TFIDF numeric
@attribute ABSTR_TFIDF numeric
@attribute LDA_TOPIC_0 numeric
@attribute LDA_TOPIC_1 numeric
@attribute LDA_TOPIC_2 numeric
@attribute LDA_TOPIC_3 numeric
@attribute LDA_TOPIC_4 numeric
@attribute LDA_TOPIC_5 numeric
@attribute LDA_TOPIC_6 numeric
@attribute LDA_TOPIC_7 numeric
@attribute LDA_TOPIC_8 numeric
@attribute LDA_TOPIC_9 numeric
@attribute LDA_TOPIC_10 numeric
@attribute LDA_TOPIC_11 numeric
@attribute LDA_TOPIC_12 numeric
@attribute LDA_TOPIC_13 numeric
@attribute LDA_TOPIC_14 numeric
@attribute LDA_TOPIC_15 numeric
@attribute LDA_TOPIC_16 numeric
@attribute LDA_TOPIC_17 numeric
@attribute LDA_TOPIC_18 numeric
@attribute LDA_TOPIC_19 numeric
@attribute TECH_TERM_BLEU numeric
@attribute TECH_TERM_Bayes numeric
@attribute TECH_TERM_CCG numeric
@attribute TECH_TERM_CFG numeric
@attribute TECH_TERM_CRF numeric
@attribute TECH_TERM_DAG numeric
@attribute TECH_TERM_DIRT numeric
@attribute TECH_TERM_ED numeric
@attribute TECH_TERM_EM numeric
@attribute TECH_TERM_HMM numeric
@attribute TECH_TERM_HPSG numeric
@attribute TECH_TERM_IAA numeric
@attribute TECH_TERM_Kappa numeric
@attribute TECH_TERM_LBFGS numeric
@attribute TECH_TERM_LCS numeric
@attribute TECH_TERM_LDA numeric
@attribute TECH_TERM_LFG numeric
@attribute TECH_TERM_LM numeric
@attribute TECH_TERM_LP numeric
@attribute TECH_TERM_LSI numeric
@attribute TECH_TERM_LinReg numeric
@attribute TECH_TERM_LogReg numeric
@attribute TECH_TERM_MAP numeric
@attribute TECH_TERM_MERT numeric
@attribute TECH_TERM_METEOR numeric
@attribute TECH_TERM_MI numeric
@attribute TECH_TERM_MIRA numeric
@attribute TECH_TERM_MLE numeric
@attribute TECH_TERM_MRR numeric
@attribute TECH_TERM_MST numeric
@attribute TECH_TERM_MaxEnt numeric
@attribute TECH_TERM_ROUGE numeric
@attribute TECH_TERM_SD numeric
@attribute TECH_TERM_SVM numeric
@attribute TECH_TERM_TAG numeric
@attribute TECH_TERM_TER numeric
@attribute TECH_TERM_TFIDF numeric
@attribute TECH_TERM_WER numeric
@attribute TECH_TERM_XAS numeric
@attribute MAX_RANK numeric
@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,1,0,2,0,0,1,0,0,0,0,3,5,9,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,5.885178,7.413226,0.037117,0.142508,0.014142,0.099743,0.020924,0.00074,0.295954,0.027469,0.003128,0.018042,0.001708,0.103426,0.00087,0.014317,0.015316,0.016519,0.051984,0.00361,0.076378,0.056106,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,708,0,0,0,0.147239,0.159509,0.04908,0.042945,0.07362,0.070552,0.064417,0.076687,0.058282,0.055215,0.052147,0.027607,0.030675,0.015337,0.030675,0.021472,0.006135,0,0.006135,0.009202,0,0,0,0,0,0,0,0.003067,0,0,0,0,0,0,0,0,0,true
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786565,11.289177,0.048298,0.10878,0.047437,0.094345,0.037871,0.008861,0.269238,0.003947,0.074468,0.011437,0.002121,0.135131,0.000176,0.032228,0.000995,0.001417,0.002921,0.000174,0.042569,0.077585,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0.030928,0.061856,0.051546,0.051546,0.061856,0.072165,0.123711,0.113402,0.072165,0.072165,0.072165,0.030928,0.082474,0.010309,0.020619,0.020619,0.030928,0.010309,0,0,0,0,0,0,0.010309,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,1,1,0,0,1,0,0,0,0,4,3,2,4,4,9,0,0,0,0,0,0,0,0,2,0,0,0,6.98379,12.937428,0.055118,0.145588,0.027666,0.096329,0.016169,0.0214,0.230906,0.018626,0.003406,0.027266,0.011979,0.079422,0.002413,0.016737,0.0294,0.037776,0.022339,0.000197,0.098572,0.058692,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0.2,0.104348,0.069565,0.055072,0.052174,0.069565,0.084058,0.072464,0.098551,0.052174,0.04058,0.028986,0.028986,0.005797,0.014493,0.014493,0.005797,0,0,0,0.002899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,2,0,2,2,0,0,0,5.885178,7.874824,0.069692,0.105356,0.039655,0.123215,0.004323,0.010042,0.222522,0.023313,0.000205,0.034166,0.000181,0.129397,0.000354,0.01472,0.039279,0.028829,0.025159,0.000147,0.05221,0.077233,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,420,0,0,0,0.074534,0.111801,0.059006,0.093168,0.068323,0.127329,0.102484,0.080745,0.068323,0.059006,0.046584,0.034161,0.031056,0.015528,0.003106,0.003106,0.003106,0.003106,0.003106,0.006211,0.003106,0,0,0,0,0,0,0.003106,0,0,0,0,0,0,0,0,0,true
0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,4.039351,14.038049,0.076932,0.130796,0.015692,0.080979,0.015368,0.001317,0.23407,0.024057,0.000745,0.043024,0.002379,0.077767,0.002495,0.022159,0.042106,0.022191,0.058133,0.000146,0.048584,0.10106,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,291,0,0,0,0.029412,0.07563,0.05042,0.033613,0.07563,0.07563,0.07563,0.117647,0.121849,0.071429,0.05042,0.067227,0.037815,0.037815,0.012605,0.021008,0.02521,0.008403,0.004202,0.008403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,4.039351,10.456281,0.048414,0.035807,0.015922,0.058943,0.01428,0.000959,0.242184,0.023165,0.000912,0.044838,0.000154,0.133037,0.001304,0.032004,0.05651,0.020157,0.152109,0.003676,0.062964,0.05266,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,?,0,0,0,0.079498,0.075314,0.058577,0.066946,0.062762,0.058577,0.07113,0.079498,0.075314,0.054393,0.062762,0.041841,0.062762,0.025105,0.033473,0.029289,0.016736,0.025105,0,0.012552,0.004184,0,0,0,0.004184,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,1,1,1,0,0,0,0,0,2,4,2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,4.786565,9.593235,0.021391,0.105728,0.018089,0.058515,0.000119,0.000899,0.185439,0.061422,0.019923,0.050557,0.010608,0.081838,0.002547,0.012363,0.007722,0.060209,0.136799,0.000373,0.094492,0.070966,0,4,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,291,0,0,0,0.07326,0.10989,0.051282,0.043956,0.095238,0.087912,0.080586,0.084249,0.084249,0.047619,0.065934,0.040293,0.021978,0.025641,0.018315,0.021978,0.018315,0.014652,0.007326,0.003663,0,0,0,0,0.003663,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,2,0,1,1,0,0,0,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.885178,17.427136,0.036473,0.094625,0.030781,0.069798,0.031126,0.010058,0.166693,0.036025,0.008111,0.032963,0.024425,0.099331,0.041947,0.050965,0.013446,0.066016,0.108025,0.004869,0.035233,0.039091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,?,0,0,0,0.037657,0.158996,0.020921,0.054393,0.058577,0.066946,0.066946,0.058577,0.066946,0.079498,0.083682,0.058577,0.066946,0.029289,0.016736,0.016736,0.008368,0.008368,0.016736,0.004184,0.008368,0,0.004184,0.004184,0,0.004184,0,0,0,0,0,0,0,0,0,0,0,true
0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.98379,31.443937,0.054488,0.031297,0.041744,0.089771,0.013558,0.009877,0.207518,0.028553,0.013389,0.052471,0.021537,0.115213,0.032738,0.032907,0.022989,0.094756,0.00953,0.001544,0.07361,0.052509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0.048485,0.075758,0.048485,0.075758,0.115152,0.121212,0.09697,0.106061,0.069697,0.084848,0.045455,0.030303,0.021212,0.012121,0.015152,0.006061,0.012121,0.009091,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,true
0,0,3,0,1,0,2,0,0,0,5,6,5,11,4,1,18,0,0,0,0,0,0,0,0,2,2,0,0,0,6.98379,16.594885,0.022069,0.032857,0.037479,0.077733,0.019348,0.000328,0.208147,0.026412,0.000249,0.04779,0.00373,0.122498,0.000116,0.03008,0.042987,0.179641,0.006369,0.000977,0.055679,0.085512,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,1,0,0,0,?,0.283276,0,0,0.167235,0.12116,0.040956,0.052901,0.042662,0.056314,0.046075,0.046075,0.035836,0.025597,0.017065,0.023891,0.015358,0.011945,0.001706,0.005119,0.003413,0.001706,0,0,0,0.001706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
