@relation DATA_SET_2010-weka.filters.unsupervised.attribute.Remove-R1-92

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.065015,0.083591,0.043344,0.074303,0.049536,0.089783,0.092879,0.092879,0.077399,0.055728,0.065015,0.052632,0.034056,0.043344,0.018576,0.027864,0.009288,0.012384,0.003096,0,0,0,0,0.006192,0,0,0,0,0.003096,0,0,0,0,0,0,0,0,true
0.003279,0,0,0.085246,0.101639,0.045902,0.078689,0.095082,0.108197,0.098361,0.101639,0.059016,0.065574,0.032787,0.036066,0.02623,0.022951,0.009836,0.006557,0.013115,0,0,0,0.003279,0.003279,0.003279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.067568,0.1,0.1,0.091892,0.097297,0.102703,0.094595,0.1,0.051351,0.056757,0.040541,0.016216,0.027027,0,0.010811,0.02973,0.008108,0,0,0.002703,0,0.002703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.102941,0.110294,0.051471,0.039216,0.071078,0.078431,0.058824,0.080882,0.071078,0.085784,0.056373,0.046569,0.044118,0.019608,0.031863,0.012255,0.004902,0.017157,0.002451,0.004902,0,0.002451,0.002451,0,0,0.002451,0.002451,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.059946,0.095368,0.059946,0.081744,0.119891,0.103542,0.106267,0.073569,0.057221,0.054496,0.059946,0.049046,0.010899,0.029973,0.00545,0,0.00545,0.010899,0.00545,0.008174,0,0,0.002725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.089457,0.111821,0.051118,0.076677,0.118211,0.076677,0.102236,0.060703,0.073482,0.044728,0.041534,0.038339,0.022364,0.028754,0.019169,0.015974,0.009585,0.00639,0.009585,0,0.003195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.21021,0.096096,0.042042,0.048048,0.048048,0.066066,0.114114,0.063063,0.042042,0.096096,0.057057,0.036036,0.042042,0.015015,0.012012,0.003003,0.003003,0,0.006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.026163,0.061047,0.052326,0.055233,0.055233,0.087209,0.087209,0.104651,0.087209,0.098837,0.072674,0.052326,0.049419,0.026163,0.031977,0.011628,0.011628,0.008721,0.008721,0.005814,0.002907,0,0,0,0,0,0.002907,0,0,0,0,0,0,0,0,0,0,true
0.055901,0,0,0.173913,0.071429,0.037267,0.093168,0.055901,0.043478,0.040373,0.049689,0.055901,0.052795,0.055901,0.046584,0.043478,0.037267,0.018634,0.024845,0.015528,0.006211,0.003106,0.006211,0.003106,0.006211,0.003106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.049133,0.086705,0.075145,0.052023,0.043353,0.072254,0.101156,0.098266,0.078035,0.083815,0.054913,0.060694,0.034682,0.037572,0.026012,0.008671,0.00578,0.00578,0.00289,0.00289,0.00578,0.00578,0.00289,0,0.00289,0.00289,0,0,0,0,0,0,0,0,0,0,0,true
