@relation DATA_SET_2007-weka.filters.unsupervised.attribute.Remove-R1-92

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.147239,0.159509,0.04908,0.042945,0.07362,0.070552,0.064417,0.076687,0.058282,0.055215,0.052147,0.027607,0.030675,0.015337,0.030675,0.021472,0.006135,0,0.006135,0.009202,0,0,0,0,0,0,0,0.003067,0,0,0,0,0,0,0,0,0,true
0,0,0,0.030928,0.061856,0.051546,0.051546,0.061856,0.072165,0.123711,0.113402,0.072165,0.072165,0.072165,0.030928,0.082474,0.010309,0.020619,0.020619,0.030928,0.010309,0,0,0,0,0,0,0.010309,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.2,0.104348,0.069565,0.055072,0.052174,0.069565,0.084058,0.072464,0.098551,0.052174,0.04058,0.028986,0.028986,0.005797,0.014493,0.014493,0.005797,0,0,0,0.002899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.074534,0.111801,0.059006,0.093168,0.068323,0.127329,0.102484,0.080745,0.068323,0.059006,0.046584,0.034161,0.031056,0.015528,0.003106,0.003106,0.003106,0.003106,0.003106,0.006211,0.003106,0,0,0,0,0,0,0.003106,0,0,0,0,0,0,0,0,0,true
0,0,0,0.029412,0.07563,0.05042,0.033613,0.07563,0.07563,0.07563,0.117647,0.121849,0.071429,0.05042,0.067227,0.037815,0.037815,0.012605,0.021008,0.02521,0.008403,0.004202,0.008403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.079498,0.075314,0.058577,0.066946,0.062762,0.058577,0.07113,0.079498,0.075314,0.054393,0.062762,0.041841,0.062762,0.025105,0.033473,0.029289,0.016736,0.025105,0,0.012552,0.004184,0,0,0,0.004184,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.07326,0.10989,0.051282,0.043956,0.095238,0.087912,0.080586,0.084249,0.084249,0.047619,0.065934,0.040293,0.021978,0.025641,0.018315,0.021978,0.018315,0.014652,0.007326,0.003663,0,0,0,0,0.003663,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.037657,0.158996,0.020921,0.054393,0.058577,0.066946,0.066946,0.058577,0.066946,0.079498,0.083682,0.058577,0.066946,0.029289,0.016736,0.016736,0.008368,0.008368,0.016736,0.004184,0.008368,0,0.004184,0.004184,0,0.004184,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.048485,0.075758,0.048485,0.075758,0.115152,0.121212,0.09697,0.106061,0.069697,0.084848,0.045455,0.030303,0.021212,0.012121,0.015152,0.006061,0.012121,0.009091,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,true
0.283276,0,0,0.167235,0.12116,0.040956,0.052901,0.042662,0.056314,0.046075,0.046075,0.035836,0.025597,0.017065,0.023891,0.015358,0.011945,0.001706,0.005119,0.003413,0.001706,0,0,0,0.001706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.047319,0.063091,0.088328,0.078864,0.091483,0.094637,0.129338,0.088328,0.094637,0.056782,0.050473,0.0347,0.0347,0.012618,0.012618,0.006309,0.006309,0,0,0.003155,0,0,0.003155,0,0.003155,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.027027,0.048649,0.027027,0.037838,0.075676,0.102703,0.048649,0.12973,0.091892,0.075676,0.081081,0.037838,0.064865,0.043243,0.016216,0.021622,0.016216,0.010811,0.027027,0.005405,0,0.010811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.039286,0.057143,0.057143,0.092857,0.089286,0.096429,0.114286,0.107143,0.05,0.071429,0.064286,0.032143,0.053571,0.014286,0.021429,0.003571,0.007143,0.003571,0.007143,0.007143,0.010714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.098214,0.040179,0.053571,0.049107,0.053571,0.049107,0.058036,0.098214,0.071429,0.098214,0.066964,0.044643,0.053571,0.03125,0.035714,0.026786,0.022321,0.013393,0,0,0.004464,0.004464,0.008929,0.004464,0.004464,0,0.004464,0.004464,0,0,0,0,0,0,0,0,0,true
0,0,0,0.177914,0.067485,0.079755,0.095092,0.076687,0.119632,0.107362,0.101227,0.039877,0.033742,0.03681,0.02454,0.01227,0.009202,0.003067,0.01227,0,0.003067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.082317,0.054878,0.091463,0.088415,0.125,0.091463,0.131098,0.103659,0.04878,0.033537,0.045732,0.036585,0.015244,0.012195,0.015244,0.012195,0.003049,0.003049,0.003049,0.003049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.067138,0.074205,0.031802,0.084806,0.084806,0.084806,0.074205,0.077739,0.095406,0.102473,0.056537,0.045936,0.024735,0.031802,0.010601,0.010601,0.021201,0.007067,0.007067,0.003534,0,0,0.003534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.083004,0.043478,0.031621,0.059289,0.043478,0.059289,0.067194,0.079051,0.079051,0.047431,0.102767,0.071146,0.047431,0.023715,0.043478,0.023715,0.031621,0,0.019763,0.003953,0.023715,0.007905,0.003953,0,0.003953,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.241379,0.175066,0.039788,0.050398,0.047745,0.045093,0.076923,0.061008,0.055703,0.037135,0.037135,0.034483,0.03183,0.018568,0.01061,0.018568,0.007958,0.002653,0,0.002653,0.002653,0,0.002653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.144295,0.057047,0.030201,0.050336,0.067114,0.083893,0.09396,0.100671,0.104027,0.060403,0.057047,0.036913,0.043624,0.026846,0.010067,0.006711,0.013423,0.003356,0.003356,0,0.003356,0,0,0,0.003356,0,0,0,0,0,0,0,0,0,0,0,0,true
0.025547,0,0,0.069343,0.142336,0.054745,0.043796,0.047445,0.065693,0.065693,0.083942,0.058394,0.054745,0.062044,0.040146,0.051095,0.047445,0.032847,0.014599,0.010949,0.00365,0.014599,0.00365,0,0,0.007299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.397163,0.141844,0.086879,0.037234,0.076241,0.046099,0.04078,0.021277,0.030142,0.019504,0.01773,0.024823,0.01773,0.003546,0.001773,0.012411,0.007092,0.001773,0.005319,0.007092,0.001773,0.001773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.080729,0.044271,0.109375,0.109375,0.114583,0.143229,0.09375,0.049479,0.039063,0.059896,0.03125,0.028646,0.023438,0.013021,0.018229,0.007813,0.007813,0.005208,0.005208,0,0.010417,0,0,0,0.002604,0,0,0,0,0.002604,0,0,0,0,0,0,0,true
0,0,0,0.056769,0.048035,0.021834,0.030568,0.043668,0.069869,0.056769,0.061135,0.100437,0.078603,0.122271,0.069869,0.061135,0.030568,0.065502,0.030568,0.008734,0.004367,0.0131,0.017467,0,0,0.004367,0.004367,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.063107,0.087379,0.15534,0.153722,0.166667,0.101942,0.088997,0.072816,0.053398,0.027508,0.011327,0.008091,0.003236,0.003236,0,0.001618,0,0,0,0.001618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.11831,0.11831,0.073239,0.095775,0.067606,0.095775,0.095775,0.087324,0.047887,0.04507,0.039437,0.030986,0.014085,0.022535,0.016901,0.005634,0.014085,0.005634,0,0.002817,0,0,0,0.002817,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.003322,0,0,0.076412,0.063123,0.059801,0.066445,0.13289,0.122924,0.086379,0.129568,0.066445,0.049834,0.053156,0.039867,0.013289,0.019934,0.009967,0,0.003322,0.003322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.099656,0.079038,0.085911,0.072165,0.068729,0.130584,0.103093,0.065292,0.061856,0.030928,0.054983,0.037801,0.044674,0.020619,0.013746,0,0.006873,0.003436,0.003436,0.006873,0,0,0.003436,0.003436,0.003436,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.041096,0.041096,0.027397,0.058219,0.068493,0.109589,0.10274,0.109589,0.075342,0.092466,0.068493,0.071918,0.030822,0.030822,0.017123,0.020548,0.010274,0.013699,0.006849,0,0,0.003425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.061674,0.008811,0.026432,0.039648,0.101322,0.101322,0.101322,0.079295,0.0837,0.092511,0.066079,0.035242,0.039648,0.035242,0.044053,0.017621,0,0.004405,0.017621,0.013216,0.008811,0,0.008811,0.004405,0.004405,0,0,0,0,0,0,0.004405,0,0,0,0,0,true
0,0,0,0.146875,0.028125,0.05,0.053125,0.065625,0.0875,0.1,0.109375,0.096875,0.046875,0.065625,0.040625,0.053125,0.034375,0,0.0125,0.003125,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.040359,0.044843,0.008969,0.071749,0.053812,0.044843,0.098655,0.134529,0.103139,0.085202,0.080717,0.076233,0.044843,0.026906,0.022422,0.017937,0.022422,0.008969,0.004484,0.008969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.105431,0.031949,0.060703,0.089457,0.063898,0.115016,0.102236,0.089457,0.067093,0.083067,0.038339,0.047923,0.038339,0.022364,0.015974,0.01278,0,0.003195,0.003195,0,0.00639,0,0,0,0,0,0.003195,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.115169,0.073034,0.087079,0.070225,0.070225,0.081461,0.095506,0.08427,0.073034,0.061798,0.058989,0.050562,0.025281,0.022472,0.011236,0.008427,0.005618,0.002809,0.002809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
%0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.069971,0.037901,0.072886,0.081633,0.119534,0.110787,0.081633,0.084548,0.075802,0.06414,0.06414,0.037901,0.014577,0.026239,0.017493,0.008746,0.002915,0.002915,0.005831,0,0.005831,0.002915,0.002915,0.002915,0.002915,0,0,0.002915,0,0,0,0,0,0,0,0,0,true
0,0,0,0.118519,0.096296,0.062963,0.066667,0.048148,0.074074,0.085185,0.118519,0.066667,0.062963,0.051852,0.055556,0.014815,0.025926,0.014815,0.014815,0.007407,0,0,0,0,0.003704,0,0,0,0,0.007407,0,0,0,0,0,0.003704,0,0,0,0,true
0,0,0,0.034043,0.038298,0.06383,0.046809,0.07234,0.097872,0.085106,0.07234,0.114894,0.068085,0.059574,0.076596,0.029787,0.017021,0.034043,0.025532,0.012766,0.017021,0.008511,0.008511,0.008511,0,0.004255,0.004255,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.047826,0.043478,0.078261,0.065217,0.065217,0.095652,0.073913,0.069565,0.091304,0.069565,0.078261,0.073913,0.026087,0.030435,0.021739,0.004348,0.017391,0.008696,0.008696,0.008696,0.008696,0,0.008696,0.004348,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.163065,0,0,0.137525,0.121807,0.064833,0.041257,0.102161,0.064833,0.078585,0.082515,0.039293,0.02554,0.033399,0.015717,0.007859,0.005894,0.007859,0.005894,0,0.001965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
