@relation 'DATA_SET_2012-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-10,31-32,53-92-weka.filters.unsupervised.attribute.Remove-R1-40'

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.18591,0.617247,0.23763,0.165365,0.270753,0.328164,0.454163,0.618558,0.495319,0.51334,0.422377,0.395497,0.408484,0.273399,0.503934,0.263949,0.072332,0.192886,0.187812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.061764,0.229739,0.450021,0.492952,0.346341,0.653846,0.442774,0.412313,0.468908,0.789772,0.198463,0.382608,0.377208,0.288541,0.465341,0.243747,0.267185,0.118749,0,0.167966,0.696094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.285965,0.286477,0.12717,0.363698,0.280308,0.296915,0.354452,0.48375,0.661711,0.478089,0.260645,0.429467,0.64688,0.395848,0.638399,0.417997,0.366564,0.122169,0.237947,0.34566,0.238714,0.178433,0.290425,0.377746,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.047357,0.177247,0.215268,0.37994,0.821086,0.439803,0.656868,0.591707,0.427676,0.569654,0.372441,0.501046,0.474377,0.247407,0.558608,0.334408,0,0,0.237947,0.172803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.682206,0.203668,0.3805,0.233247,0.235379,0.238485,0.260213,0.380569,0.367466,0.347049,0.353197,0.389776,0.260927,0.329337,0.289703,0.101165,0.221785,0.221804,0.072002,0.104596,0,0.108003,0,0,0,0,0,0.216006,0,0,0,0,0,0,0,0,0,true
0,0,0,0.096117,0.181161,0.165963,0.506679,0.652145,0.653298,0.782375,0.554012,0.571696,0.548972,0.289755,0.263446,0.396803,0.273168,0.073437,0,0.252964,0.224844,0,0.159043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.162855,0.321221,0.180297,0.063211,0.311422,0.329452,0.706296,0.609938,0.462175,0.683808,0.511973,0.594753,0.358337,0.293681,0.473631,0.69466,0.217567,0.435097,0.141229,0,0.566825,0,0,0.448478,0.423687,0,0,0,0.862599,0,0,0,0,0,0,0,0,true
0,0,0,0.365045,0.519567,0.180918,0.119436,0.193396,0.34965,0.330811,0.283666,0.657099,0.637233,0.446801,0.364387,0.399163,0.229002,0.443179,0.15475,0.33929,0.113087,0.110112,0.479925,0.220968,0,0,0.349665,0.330336,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.287653,0.923582,0.258627,0.116957,0.226117,0.43056,0.231117,0.43443,0.282154,0.331482,0.287938,0.392836,0.315567,0.211212,0.437967,0.101971,0.223524,0.223514,0.072557,0,0,0,0,0.230408,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.144765,0.456344,0.202943,0.332941,0.064308,0.11795,0.599574,0.391061,0.768366,0.686713,0.488722,0.203108,0.587385,0.505478,0.634031,0.474442,0.20802,0.138699,0.405113,0.196184,0.271013,0,0,0,0.81019,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.171858,0.499981,0.151459,0.252746,0.544565,0.537999,0.589938,0.753844,0.562535,0.431352,0.322471,0.145686,0.280871,0.080576,0.454794,0.272243,0.074612,0,0.096866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.275194,0.157649,0.205737,0.316795,0.362661,0.510662,0.570889,0.252166,0.804249,0.578272,0.359073,0.380226,0.58312,0.477917,0.539523,0.242239,0,0.236016,0,0,0,0,0.280578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
