@relation DATA_SET_2011-weka.filters.unsupervised.attribute.Remove-R1-92-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.023113,0.231557,0.209968,0.30735,0.403489,0.462819,0.351313,0.539435,0.7858,0.595056,0.553267,0.424397,0.264607,0.216496,0.276631,0.27809,0.208389,0.200175,0.278846,0.127132,0.207877,0.222193,0,0.282891,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.088317,0.221947,0.256361,0.298129,0.355808,0.635287,0.394148,0.661821,0.508152,0.522858,0.551517,0.374246,0.169694,0.169694,0.139391,0.183917,0.183768,0.176525,0.122931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.327949,0.512872,0.146522,0.171583,0.255978,0.233541,0.198072,0.491005,0.383856,0.308149,0.302155,0.320843,0.201439,0.050358,0.055154,0.145539,0.096948,0.279365,0.09729,0.088726,0,0,0,0.197431,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.07473,0.410157,0.391665,0.2385,0.373596,0.328981,0.257445,0.591503,0.635184,0.387102,0.28,0.514583,0.186669,0.163331,0.498327,0.337184,0,0.194175,0.135224,0.246679,0,0.43113,0,0.274411,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.117161,0.935184,0.331919,0.25265,0.256303,0.307811,0.16573,0.154238,0.387568,0.285457,0.118643,0.319793,0.158193,0.158193,0.422312,0.40004,0.285506,0.164555,0.114614,0.20905,0,0,0,0.232587,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.292753,0.619161,0.34725,0.253562,0.311787,0.268495,0.149906,0.351802,0.248836,0.216288,0.252574,0.141469,0.228522,0.084189,0.158078,0,0.138933,0.300248,0,0.063566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.103154,0.332511,0.187422,0.205762,0.327431,0.297031,0.181246,0.628071,0.654674,0.594907,0.53681,0.662958,0.34356,0.150304,0.105822,0.434392,0.124015,0.446687,0.248905,0.113479,0,0,0,0.252511,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.083121,0.254485,0.318646,0.32213,0.429678,0.482533,0.368924,0.56393,0.694401,0.42105,0.400421,0.436089,0.192794,0.207627,0.097462,0.128586,0.128482,0.123402,0.08597,0.078403,0,0.137028,0.113894,0.174461,0.19494,0,0,0,0,0,0.510725,0,0,0,0,0,0,true
0,0,0,0.218288,0.370067,0.197893,0.164754,0.182587,0.486471,0.256198,0.556777,0.521521,0.43326,0.478947,0.297913,0.257894,0.092106,0.21184,0.159721,0.159592,0.076656,0.106784,0,0.159235,0,0.141467,0.216697,0,0,0,0,0,0,0,0,0,0.663306,0,0,0,true
0,0,0,0.350941,0.677274,0.198678,0.189037,0.401867,0.376631,0.21504,0.279491,0.322207,0.181409,0.101717,0.108762,0.110964,0.055482,0.030383,0,0.026703,0.038474,0,0,0.07992,0.085424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
